DOI,prompt,completion
10.1016/j.cemconcomp.2013.03.001,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Durability of very high volume fly ash cement pastes and mortars in aggressive solutions
Abstract:
The resistance of very high volume fly ash cement pastes and mortars activated by Na2SO4 has been monitored following immersion for up to 90d in 0.1M HCl, 4.4% Na2SO4 and ASTM-compliant sea water. Changes in the compressive strengths of mortars and in crystalline phases, bond environments, and the microstructure of pastes following immersion were monitored. Experiments were repeated with a commercially available sulfate resistant cement. Both cements were found to present adequate resistance to both sea water and the Na2SO4 solution. However, both were severely degraded by acid immersion. Differences in potential degradation mechanisms based on the chemistry of the fly ash binder and the reference cement are discussed.",['coal fly ash']
10.1016/s0008-8846(99)00213-6,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Studies on concrete containing ground waste glass
Abstract:
The possibility of using finely ground waste glass as partial cement replacement in concrete was examined through three sets of tests: the lime-glass tests to assess the pozzolanic activity of ground glass, the compressive strength tests of concrete having 30% cement replaced by ground glass to monitor the strength development, and the mortar bar tests to study the potential expansion. The results showed that ground glass having a particle size finer than 38 μm did exhibit a pozzolanic behavior. The compressive strength from lime-glass tests exceeded a threshold value of 4.1 MPa. The strength activity index was 91, 84, 96, and 108% at 3, 7, 28, and 90 days, respectively, exceeding 75% at all ages. The mortar bar tests demonstrated that the finely ground glass helped reduce the expansion by up to 50%. A size effect was observed; a smaller glass particle size led to a higher reactivity with lime, a higher compressive strength in concrete, and a lower expansion. Compared to fly ash concrete, concrete containing ground glass exhibited a higher strength at both early and late ages.",['waste glass']
10.1016/j.conbuildmat.2018.12.201,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Influence of the initial water content in flash calcined metakaolin-based geopolymer
Abstract:
This study assesses the influence of the initial amount of water in metakaolin-based geopolymer on some of its properties in the hardened state. Results suggest a linearly decreasing influence of the amount of water on the mechanical performance of the geopolymer and showed that the majority of this water was not bonded to the structure. Moreover, it was found that whatever the amount of water initially introduced, all the samples contained the same amount of water after a drying period. The study of the porous network showed a large pore volume of 50% of the total volume which corresponds to the volume of water initially introduced. Finally, the observation of numerous macropore helped to explain the high transfer coefficients measured on the geopolymer.",['metakaolin']
10.1016/s0008-8846(00)00432-4,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Physical, chemical and mechanical properties of fluid catalytic cracking catalyst residue (FC3R) blended cements
Abstract:
The use of fluid catalytic cracking catalyst residue (FC3R) as a cement replacement material has been studied. Four FC3R-blended cements were prepared by the replacement of Portland cement by FC3R in the 6-20% range by mass. Chemical, physical and mechanical properties of the FC3R-blended cements were compared to those of ordinary Portland cement (OPC). Chemical and mechanical tests suggested important pozzolanic activity of FC3R-replacing material. An increase in the compressive strength of the FC3R-blended cements was observed, yielding equal or greater compressive strength than mortars prepared with OPC.",['fluid catalytic cracking catalyst residue']
10.1016/j.conbuildmat.2018.11.224,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Influence and mechanism of micro/nano-mineral admixtures on the abrasion resistance of concrete
Abstract:
The abrasion resistances of concrete in which the cement was partially replaced by 40 wt% super fine slag (SFS), 5 wt% nano-SiO2 (NS), 5 wt% NS and 25 wt% fly ash (FA) were tested. Mechanisms responsible for the affection of these micro/nano-mineral admixtures on the abrasion resistance of the concrete were analyzed through measurements of the micro-hardness of the interfacial transition zone (ITZ) of the aggregate-cement matrix and the cement matrix, the hydration products of the paste, and the degree of polymerization of the silicate chains of C-S-H in the paste. Results indicated that the addition of SFS, NS, or NS and FA improved the abrasion resistance of the surface mortar layer by 82%, 73% and 68%, respectively, and that of the concrete by 20%, 16% and 13%, respectively. Because of the addition of SFS, NS, or NS and FA, Ca(OH)2 was consumed to produce more calcium silicate hydrate (C-S-H) and other aluminiferous hydration products, and the degree of polymerization of silicate chains in C-S-H was increased. Therefore, the micro-mechanical properties of the ITZ and the cement matrix were strengthened, improving the abrasion resistance of the concrete.","['blast furnace slag', 'SiO2 nanoparticle', 'SiO2 nanoparticle', 'coal fly ash']"
10.1016/j.conbuildmat.2010.12.008,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Effects of crushed glass cullet sizes, casting methods and pozzolanic materials on ASR of concrete blocks
Abstract:
The aim of this study is to investigate the influence of using different particle sizes of recycled glass, casting methods and pozzolanic materials in reducing the expansion due to alkali-silica reaction (ASR) of concrete blocks prepared with the use of crushed glass as fine aggregate. In this work, 25x25x285mm mortar bar specimens were prepared using conventional wet-mixed and dry-mixed methods. Except for the control mortar bar, all the specimens were prepared by completely replacing river sand with different particle sizes of recycled glass. In addition, the influence of fly ash (PFA) and metakaolin (MK) content on the reduction of ASR expansion was also investigated. The flexural strength of the mortar bar specimens before and after they had been exposed to 1N NaOH solution was determined to complement the results of ASR expansion test. SEM was performed to examine the microstructure as well as nature of the cement binder-glass interfacial zone. The results reveal that ASR expansion reduced with reducing particle size of glass used. For the same given mix proportion, the dry-mixed method resulted in 44% less expansion when compared with the wet-mixed method. Both PFA and MK were demonstrated to be able to significantly reduce ASR expansion of the concrete glass blocks.",['waste glass']
10.1016/j.conbuildmat.2018.04.028,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Effects of cellulose, hemicellulose, and lignin on the morphology and mechanical properties of metakaolin-based geopolymer
Abstract:
Natural fiber-reinforced geopolymer has attracted wide attention in construction and building materials due to its low cost, low density, and excellent mechanical properties. Cellulose, hemicellulose, and lignin are the three basic components of natural fibres, and were investigated to reveal their influence on the metakaolin-based geopolymer. Comparative evaluations were investigated via morphology analysis and mechanical strength analysis. The results showed distinct microstructures and mechanical properties of the geopolymer-based materials with cellulose, hemicellulose, and lignin, respectively. A low content (5 wt%) of lignin, cellulose, and hemicellulose enhanced the flexural and compressive strength of pure geopolymer. Higher lignin and hemicellulose led to the porous morphology, lower density, and brittle fractures of geopolymer-based composites, which reduced the flexural and compressive strength in these geopolymer-based composites. It was noted that the degree of geopolymerization was clearly lowered by the alkaline degradation of hemicellulose. With the increase in cellulose content, in contrast, the denser structure and fewer pores of the geopolymer matrix were detected, as well as ductile failures of geopolymer-based composites. Good bonding was also shown between the geopolymer matrix and cellulose fibres without remarkable degradation. The results of this study will facilitate a better understanding of the effect of lignocellulosic biomass in natural fibre-reinforced geopolymers and should serve as the basis for further research and applications.","['cellulose', 'hemicellulose', 'lignin', 'metakaolin']"
10.1016/j.jhazmat.2009.03.134,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Preparation of the saving-energy sulphoaluminate cement using MSWI fly ash
Abstract:
MSWI fly ash was used as a major cement raw material in sintering sulphoaluminate cement clinker successfully in the laboratory. Sintering system, mechanical performance, hydration process and microstructure of the clinker was investigated by X-ray diffraction (XRD), scanning electron microscopy (SEM), X-ray fluorescence spectrometry (XRF), etc. The result shows that the clinker can be sintered properly under the temperature of 1200-1300 degC and sintered time of 120 min. Cl- content in the clinker made with MSWI fly ash is about 1.08%. However most Cl- cannot leach out in water solution from the hardened cement paste during curing age between 1 d and 28 d because of the Cl- being combined in clinker minerals and its hydrates. The compressive strength of the sulphoaluminate cement was high in early age while that developed smoothly in later age.",['MSWI fly ash']
10.1016/j.jenvman.2020.110881,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
A review on different methods of activating tailings to improve their cementitious property as cemented paste and reusability
Abstract:
Over the past few decades, as demand for minerals and metals has increased, the amount and volume of wastes and tailings has also increased dramatically. The management and reuse of mineral wastes and tailings not only help protect the environment but also are properly associated with economic benefits. As a result, mineral processing wastes disposal and storage has become a global issue. Along with the use of cemented paste as a backfill in underground spaces, the use of mineral processing wastes in the construction industry or as a substitute for cement is one of the new approaches to mineral tailings management. It is worth noting that the cement industry is facing crucial environmental issues. Portland cement production in industries increases the greenhouse effect and creates acidic rain. In fact, it generates greenhouse gases directly through carbon dioxide emission during clinker production as well as through energy consumption. In addition, the increasing stringency of environmental regulations has forced the mining industries to make efforts in order to manage tailings. One of the new and attractive techniques to reduce environmental problems and to obtain economic and technological benefits is to increase the use of tailings, for example, the use of mineral tailings as a substitute for cement. It is important to note that mineral tailings are not normally cemented and are accompanied by reduced strength of cement and concrete mortars; thus, there is a need for methods to increase their cementitious properties. Activation is one of the methods improving cementitious/pozzolanic properties of mineral tailings. Therefore, the present review study aimed to investigate the activation methods to improve the properties of tailings resulted from minerals processing in order to be used as a replacement for cement, to reduce the pollution caused by cement production, as well as to reduce the volume of unused mineral tailings. Different physical, chemical, and thermal activation methods were examined, and criticisms and research gaps of previous studies were presented.",['mine tailings']
10.1016/j.conbuildmat.2017.08.086,"Extract information of raw materials used in this research.Possible materials include ['Class C fly ash', 'Class F fly ash', 'Corex slag', 'FeMn arc-furnace slag', 'FeNi-ERF slag', 'MSWI bottom ash', 'MSWI fly ash', 'SiO2 nanoparticle', 'albite', 'aluminium hydroxide', 'aluminosilicate', 'bagasse ash', 'basalt', 'basalt fiber', 'biochar', 'biomass fly ash', 'blast furnace slag', 'calcined clay', 'calcium carbide residue', 'cellulose', 'coal bottom ash', 'coal fly ash', 'coarse recycled concrete aggregate', 'colloidal nano-silica', 'construction and demolition waste', 'construction waste', 'copper tailing', 'demolished concrete waste', 'electric arc furnace slag', 'fine recycled concrete aggregate', 'flax fibre', 'fluid catalytic cracking catalyst residue', 'fly ash', 'glass fibre', 'glass waste', 'gypsum', 'harbor sediment', 'hemicellulose', 'kaolin', 'kaolinite', 'ladle furnace slag', 'lignin', 'lime', 'limestone', 'limestone powder', 'metakaolin', 'microorganisms-based bioplasticizer', 'microsilica', 'mine tailings', 'mineral', 'nano-silica', 'natural pozzolan', 'nylon fibre', 'oil palm shell', 'palm oil clinker', 'palm oil fuel ash', 'paper sludge', 'raw rice husk', 'recycled aggregate', 'red mud', 'rice husk ash', 'rubber waste', 'sewage sludge ash', 'silica', 'silica fume', 'siltstone', 'soda ash', 'steel fiber', 'steel slag', 'stone powder', 'sugar cane bagasse ash', 'waste glass', 'waste rubber particles', 'water treatment sludge', 'water treatment sludge waste', 'zeolite']. Give the answer as a list of strings
Here is the research paper content: 
Title:
Experimental investigation of the effect of silica fume on the thermal spalling of reactive powder concrete
Abstract:
The distinct spalling performances of reactive powder concrete (RPC) specimens with various silica fume (SF) contents exposed to high temperatures were observed via high-resolution photography. The RPC microstructures and pore structures after high-temperature exposure were characterized using scanning electron microscopy and mercury intrusion porosimetry. The results provide experimental evidence of the high-temperature spalling mechanism of RPC. Increasing the SF content in RPC increases its compressive strength and compactness, offering greater mitigation of devastating spalling behaviour, but also producing more pulverized spalling remnants. This is attributed to the post-heating cracked microstructure and refined pores, which promote localized rather than entirely explosive spalling.",['silica fume']
