,DOI,mat,app,prod
0,10.1016/j.conbuildmat.2013.06.081,coal bottom ash,fine aggregate,concrete
1,10.1016/j.conbuildmat.2012.07.078,silica fume,supplementary cementitious material,concrete
2,10.1111/j.1551-2916.2007.02108.x,Class C fly ash,supplementary cementitious material,concrete
3,10.1016/j.conbuildmat.2005.09.011,coal fly ash,supplementary cementitious material,concrete
4,10.1016/j.conbuildmat.2011.06.019,limestone powder,fine aggregate,concrete
5,10.1016/j.cemconres.2004.06.006,silica fume,supplementary cementitious material,concrete
6,10.1016/j.wasman.2009.09.014,metakaolin,geopolymer,concrete
7,10.1016/j.renene.2015.01.067,unknown,unknown,concrete
8,10.1016/j.conbuildmat.2005.07.001,silica fume,supplementary cementitious material,concrete
9,10.1016/j.cemconres.2015.06.003,coal fly ash,geopolymer,concrete
10,10.1111/j.1151-2916.1994.tb07101.x,blast furnace slag,supplementary cementitious material,concrete
11,10.1111/j.1551-2916.2005.00344.x,coal fly ash,supplementary cementitious material,concrete
12,10.1016/j.conbuildmat.2014.07.041,coal fly ash,geopolymer,concrete
13,10.1016/j.jeurceramsoc.2011.04.036,unknown,unknown,unknown
14,10.1016/j.electacta.2007.01.014,unknown,unknown,concrete
15,10.1016/j.fuel.2013.10.077,red mud,supplementary cementitious material,concrete
16,10.1016/j.ijimpeng.2015.05.002,silica fume,fine aggregate,concrete
17,10.1016/j.fuproc.2014.09.015,coal bottom ash,supplementary cementitious material,concrete
18,10.1016/j.cemconcomp.2014.06.008,calcined clay,supplementary cementitious material,concrete
19,10.1016/j.fuel.2009.02.018,coal fly ash,supplementary cementitious material,concrete
20,10.1016/j.conbuildmat.2015.09.042,silica fume,supplementary cementitious material,concrete
21,10.1016/j.conbuildmat.2007.04.017,steel fiber,reinforced fibre,
22,10.1016/j.conbuildmat.2007.04.005,coal fly ash,supplementary cementitious material,concrete
23,10.1016/j.conbuildmat.2007.09.001,coal fly ash,lightweight aggregate,concrete
24,10.1111/j.1151-2916.1994.tb07102.x,blast furnace slag,supplementary cementitious material,concrete
25,10.1016/j.conbuildmat.2014.06.034,coal bottom ash,fine aggregate,concrete
26,10.1016/j.colsurfa.2006.12.064,fine recycled concrete aggregate,geopolymer,concrete
27,10.1016/j.conbuildmat.2008.12.013,steel slag,fine aggregate,concrete
28,10.1016/j.conbuildmat.2013.06.015,Class C fly ash,unknown,concrete
29,10.1016/j.cemconres.2015.02.023,metakaolin,supplementary cementitious material,concrete
30,10.1016/0008-8846(87)90001-9,blast furnace slag,supplementary cementitious material,concrete
31,10.1016/j.cemconres.2011.09.008,blast furnace slag,supplementary cementitious material,concrete
32,10.1016/j.conbuildmat.2015.05.102,coal fly ash,lightweight aggregate,concrete
33,10.1016/j.matlet.2015.09.016,coal fly ash,geopolymer,concrete
34,10.1016/0142-9612(94)90056-6,unknown,unknown,concrete
35,10.1016/j.cemconres.2004.06.012,silica fume,supplementary cementitious material,concrete
36,10.1016/j.matlet.2005.10.019,coal fly ash,geopolymer,concrete
37,10.1016/j.cemconcomp.2004.02.014,coal fly ash,unknown,concrete
38,10.1016/j.conbuildmat.2010.06.085,coal bottom ash,fine aggregate,concrete
39,10.1111/j.1151-2916.1992.tb04163.x,silica fume,supplementary cementitious material,concrete
40,10.1016/j.jeurceramsoc.2005.07.036,unknown,unknown,concrete
41,10.1111/j.1151-2916.1993.tb03760.x,blast furnace slag,supplementary cementitious material,concrete
42,10.1016/j.cemconres.2004.08.011,Class C fly ash,supplementary cementitious material,concrete
43,10.1016/0022-3913(58)90130-6,unknown,unknown,concrete
44,10.1016/j.fuel.2009.09.012,coal fly ash,geopolymer,concrete
45,10.1016/j.cej.2014.02.051,steel slag,supplementary cementitious material,concrete
46,10.1016/j.conbuildmat.2012.05.009,Class F fly ash,supplementary cementitious material,concrete
47,10.1016/j.cemconres.2010.11.009,unknown,unknown,concrete
48,10.1016/j.matdes.2014.07.042,silica fume,supplementary cementitious material,concrete
49,10.1016/j.conbuildmat.2015.08.089,Class F fly ash,geopolymer,geopolymer mortar
50,10.1016/j.carbon.2008.12.013,silica fume,supplementary cementitious material,lightweight building material
51,10.1111/j.1365-2842.2004.01297.x,unknown,unknown,concrete
52,10.1111/j.1744-7402.2008.02328.x,Class F fly ash,geopolymer,concrete
53,10.1016/j.conbuildmat.2013.10.099,coal fly ash,supplementary cementitious material,concrete
54,10.1016/j.matdes.2015.12.074,coal bottom ash,supplementary cementitious material,cement mortar
55,10.1016/j.conbuildmat.2013.08.091,silica fume,supplementary cementitious material,concrete
56,10.1006/mchj.1998.1654,unknown,unknown,concrete
57,10.1016/0008-8846(81)90071-5,coal fly ash,supplementary cementitious material,concrete
58,10.1016/j.matchemphys.2007.03.033,coal fly ash,supplementary cementitious material,concrete
59,10.1016/j.jssc.2016.05.003,kaolinite,unknown,concrete
60,10.1016/j.jnoncrysol.2014.11.002,waste glass,supplementary cementitious material,concrete
61,10.1016/j.conbuildmat.2013.10.047,electric arc furnace slag,geopolymer,concrete
62,10.1016/j.conbuildmat.2013.05.107,coal fly ash,supplementary cementitious material,concrete
63,10.1016/j.cemconres.2004.06.031,Class F fly ash,geopolymer,concrete
64,10.1016/0262-5075(89)90034-1,Class F fly ash,supplementary cementitious material,concrete
65,10.1016/j.conbuildmat.2014.12.092,limestone powder,fine aggregate,concrete
66,10.1111/j.1151-2916.2004.tb07509.x,unknown,unknown,concrete
67,10.1016/j.conbuildmat.2012.01.011,silica fume,supplementary cementitious material,concrete
68,10.1016/j.conbuildmat.2015.01.032,coal fly ash,supplementary cementitious material,concrete
69,10.1016/j.cemconres.2008.03.004,blast furnace slag,supplementary cementitious material,concrete
70,10.1016/j.conbuildmat.2009.11.025,silica fume,reinforced fibre,concrete
71,10.1016/0008-8846(87)90132-3,silica fume,supplementary cementitious material,concrete
72,10.1111/j.1551-2916.2007.01996.x,Class C fly ash,clinker feedstock,concrete
73,10.1016/j.fuel.2013.04.070,coal fly ash,supplementary cementitious material,concrete
74,10.1016/0008-8846(94)90063-9,silica fume,supplementary cementitious material,cement mortar
75,10.1016/0008-8846(94)90063-9,coal fly ash,supplementary cementitious material,cement mortar
76,10.1016/j.matlet.2003.10.007,coal fly ash,supplementary cementitious material,concrete
77,10.1016/j.cemconcomp.2010.09.020,Class F fly ash,supplementary cementitious material,concrete
78,10.1111/j.1151-2916.1992.tb04228.x,Class F fly ash,supplementary cementitious material,concrete
79,10.1016/j.conbuildmat.2011.11.046,coal fly ash,supplementary cementitious material,concrete
80,10.1016/j.powtec.2013.04.016,steel slag,supplementary cementitious material,concrete
81,10.1016/j.fuel.2011.01.018,coal fly ash,geopolymer,geopolymer paste
82,10.1016/j.solmat.2015.07.026,silica fume,supplementary cementitious material,concrete
83,10.1016/j.conbuildmat.2009.08.012,silica fume,supplementary cementitious material,concrete
84,10.1016/j.conbuildmat.2009.08.001,coal fly ash,supplementary cementitious material,concrete
85,10.1016/0096-6347(46)90135-4,unknown,unknown,concrete
86,10.1016/j.conbuildmat.2012.06.016,fine recycled concrete aggregate,fine aggregate,concrete
87,10.1016/j.conbuildmat.2005.10.005,Class F fly ash,supplementary cementitious material,concrete
88,10.1111/j.1151-2916.2002.tb00581.x,Class F fly ash,supplementary cementitious material,concrete
89,10.1016/j.fuproc.2008.08.012,coal fly ash,clinker feedstock,concrete
90,10.1016/j.conbuildmat.2015.01.004,Class F fly ash,supplementary cementitious material,concrete
91,10.1016/j.conbuildmat.2014.02.059,nano-silica,reinforced fibre,concrete
92,10.1016/j.fuel.2010.07.031,coal fly ash,geopolymer,concrete
93,10.1016/j.conbuildmat.2013.08.003,coal fly ash,supplementary cementitious material,concrete
94,10.1016/j.conbuildmat.2015.08.139,coal fly ash,supplementary cementitious material,concrete
95,10.1016/0008-8846(92)90071-3,unknown,unknown,concrete
96,10.1111/j.1151-2916.1925.tb16710.x,unknown,unknown,concrete
97,10.1016/j.fuel.2012.02.059,fine recycled concrete aggregate,geopolymer,concrete
98,10.1016/j.jclepro.2015.03.003,blast furnace slag,geopolymer,concrete
99,10.1111/j.1551-2916.2009.03414.x,blast furnace slag,supplementary cementitious material,concrete
100,10.1016/j.conbuildmat.2013.05.060,silica fume,supplementary cementitious material,concrete
101,10.1016/j.cej.2008.12.013,water treatment sludge,supplementary cementitious material,concrete
102,10.1111/j.1551-2916.2009.02948.x,coal fly ash,geopolymer,concrete
103,10.1016/j.cemconcomp.2006.11.002,coal fly ash,geopolymer,concrete
104,10.1016/j.jhazmat.2009.09.149,coal bottom ash,geopolymer,concrete
105,10.1016/j.cemconcomp.2008.01.004,silica fume,supplementary cementitious material,concrete
106,10.1016/0148-9062(86)90861-2,limestone,supplementary cementitious material,concrete
107,10.1111/j.1151-2916.1987.tb04873.x,silica fume,supplementary cementitious material,concrete
108,10.1016/j.cemconcomp.2015.09.002,coal fly ash,supplementary cementitious material,concrete
109,10.1016/j.fuel.2005.03.013,Class F fly ash,supplementary cementitious material,concrete
110,10.1016/j.conbuildmat.2013.07.045,limestone powder,unknown,concrete
111,10.1016/j.jeurceramsoc.2005.12.021,kaolinite,geopolymer,concrete
112,10.1016/j.jeurceramsoc.2005.12.021,blast furnace slag,geopolymer,concrete
